Author,Title,Class Number,Class Name,Quarter,Year,Descriptors,Location,
"Boykin, John C.",Life history and distribution of Kinorhyncha,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Pycnophyes sanjuanensis; Echinoderes; Trachydemus,,
"Casey, Richard",Preliminary investigation of the Noctiluca of the Friday Harbor area,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,"Noctiluca miliaris; Noctiluca scintillans
",Friday Harbor,
"Corliss, Sylvia","Preliminary observations on the feeding behavior of Lacuna in the Friday Harbor region, Washington",Zoology 533,Advanced Invertebrate Zoology,Summer,1962,"Lacuna; Littorina littorea
",Friday Harbor,
"Cundiff, Milford F.",The effects of temperature on the resistance of Mytilus edulis to hypotonic sea-water,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,"Mytilus edulis; Ostrea edulis
",,
"Hummon, William D.",Some preliminary observations on the marine gastrotrichs of the San Juan archipelago,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Paraturbanella intermedia; Turbanella; Lepidodermella,San Juan Islands,
"Hubbard, John P.",The gastropod fauna of the sub-class Prosobranchia of the San Juan archipelago,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Odostomia; Turbonilla,San Juan Islands,
"Lenhoff, Howard M.",Part I: Reversible inhibition of swimming in Stomotoca atra by mesogleal extracts of some other medusae.  Part II: Observations of some Friday Harbor coelenterates.,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,"Stomotoca atra; Aequorea aequorea
",Friday Harbor,
"Middaugh, Mical E.",Key to the genus Pagurus of the Friday Harbor area,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,"Pagurus
",Friday Harbor,
"Palka, J.M.",Observations on the functional neuroanatomy of the cloacal region of holothurians,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Eupentacta,,
"Palka, Yvonne S.",Observations on locomotion in starfish,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Leptasterias; Pycnopodia helianthoides,,
"Porcaro, Carol A.",Some aspects of the Arctonoe vittata - Diodora aspera relation,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,"Arctonoe vittata; Diodora aspera
",,
"Thut, Rudolph N.",A preliminary study of environmental factors affecting the distribution of the intertidal infauna of False Bay,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Macoma; Naididae,"False Bay, San Juan Island",
"Kirchenberg, Ralph",Some observations on the respiratory activity of Arenicola pacifica,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,Arenicola pacifica; Nereis,,
